"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01000320: Mostyn (Flintshire) ",514,587,708,800,433,369,697,123,540
"","W01000321: New Brighton 1 ",1803,1740,1560,1756,1544,804,1703,1134,1647
"","W01000322: New Brighton 2 ",1561,1454,1327,845,1516,1017,1566,1093,1498
"","W01000323: Northop 1 ",1610,1489,1560,1625,1546,293,1462,1496,1520
"","W01000324: Northop 2 ",1782,1805,1673,1708,1765,481,1778,786,1840
"","W01000325: Northop Hall ",1702,1685,1560,1605,1719,446,1184,1447,1317
"","W01000326: Penyffordd 1 ",1718,1602,1560,1637,1623,580,1511,959,1602
"","W01000327: Penyffordd 2 ",1798,1735,1673,1862,1483,772,1565,908,1497
"","W01000328: Queensferry ",498,610,861,521,428,1222,652,29,94
"","W01000329: Saltney Mold Junction ",680,633,941,1399,397,903,470,358,154
"","W01000330: Saltney Stonebridge 1 ",547,479,782,1081,405,1309,421,165,103
"","W01000331: Saltney Stonebridge 2 ",1281,1255,1447,1719,884,790,1011,138,778
"","W01000332: Sealand 1 ",667,944,1111,624,490,335,1031,179,261
"","W01000333: Sealand 2 ",330,199,400,413,399,1514,498,294,361
"","W01000334: Shotton East ",707,757,708,570,673,1736,453,715,239
"","W01000335: Shotton Higher 1 ",297,307,456,216,262,1566,321,1111,79
"","W01000336: Shotton Higher 2 ",83,82,223,105,49,1638,159,687,3
"","W01000337: Shotton West ",1089,1040,941,1314,928,1752,458,529,386
"","W01000338: Trelawnyd and Gwaenysgor ",1374,1333,1447,1416,1212,212,1385,1602,1355
"","W01000339: Treuddyn ",1444,1278,1447,1724,1426,226,1406,1270,1186
"","W01000340: Whitford ",1524,1676,1673,1131,1467,179,1480,1687,1525
"Wrexham ","",".",".",".",".",".",".",".",".","."
"Wrexham ","W01000341: Acton 1 ",964,911,941,1475,852,657,738,1713,147
"","W01000342: Acton 2 ",543,457,456,719,658,909,706,1716,164
"","W01000343: Borras Park 1 ",1867,1874,1673,1392,1839,853,1728,1756,1779
"","W01000344: Borras Park 2 ",1724,1758,1447,1659,1720,345,1848,1726,1688
"","W01000345: Bronington 1 ",1539,1791,1673,1864,1714,130,1364,556,1297
"","W01000346: Bronington 2 ",1484,1736,1845,1804,1586,54,1754,1188,812
"","W01000347: Brymbo 1 ",969,1243,1221,485,691,516,955,1884,508
"","W01000348: Brymbo 2 ",401,361,400,633,175,1594,404,1889,174
"","W01000349: Brynyffynnon 1 ",985,967,941,638,1187,1068,1095,1084,237
"","W01000350: Brynyffynnon 2 ",755,1042,1327,823,509,1453,179,223,30
"","W01000351: Bryn Cefn ",896,968,1022,532,699,687,721,1868,634
"","W01000352: Cartrefle 1 ",502,539,456,437,643,1163,396,1686,91
"","W01000353: Cartrefle 2 ",123,133,120,602,70,1235,66,1800,11
"","W01000354: Cefn 1 ",913,1091,861,1322,913,518,594,346,476
"","W01000355: Cefn 2 ",429,424,585,232,585,1450,677,230,132
"","W01000356: Cefn 3 ",426,601,585,247,370,1129,811,395,47
"","W01000357: Dyffryn Ceiriog/Ceiriog Valle ",1509,1696,1560,1369,1626,190,1318,978,1225
"","W01000358: Dyffryn Ceiriog/Ceiriog Valle ",1132,950,1327,1654,1287,158,1297,1377,548
"","W01000359: Chirk North 1 ",1153,989,1221,1359,1344,344,1287,641,625
"","W01000360: Chirk North 2 ",569,588,655,457,529,744,1226,301,485
"","W01000361: Chirk South ",1080,1065,1221,1257,914,674,1059,204,756
"","W01000362: Coedpoeth 1 ",431,439,585,471,303,1340,395,1871,12
"","W01000363: Coedpoeth 2 ",1580,1038,1221,1325,1555,1487,1449,1841,1021
"","W01000364: Coedpoeth 3 ",1533,1336,1327,827,1454,1441,795,1764,1201
"","W01000365: Erddig ",1375,1416,1327,654,1618,849,1013,1825,482
"","W01000366: Esclusham 1 ",664,825,861,263,646,1304,782,1139,95
"","W01000367: Esclusham 2 ",1550,1546,1327,1278,1513,806,829,1187,889
"","W01000368: Garden Village ",1809,1823,1560,1599,1727,798,1522,1144,1645
"","W01000369: Gresford East and West 1 ",1776,1473,1560,1694,1571,1387,1646,1539,622
"","W01000370: Gresford East and West 2 ",1575,1488,1327,586,1753,1117,1642,1728,1366
"","W01000371: Grosvenor 1 ",1313,1125,1022,962,1365,1656,585,1712,507
"","W01000372: Grosvenor 2 ",537,646,522,238,979,1632,391,1484,58
"","W01000373: Gwenfro ",333,320,400,593,255,1208,92,1463,80
"","W01000374: Gwersyllt East and South 1 ",869,620,708,966,723,1357,611,1824,907
"","W01000375: Gwersyllt East and South 2 ",1308,1406,1560,1101,1031,514,915,567,715
"","W01000376: Gwersyllt East and South 3 ",1557,1627,1327,1587,1050,591,1213,1717,967
"","W01000377: Gwersyllt North 1 ",1002,1282,1221,704,633,625,966,1232,319
"","W01000378: Gwersyllt North 2 ",360,348,456,461,278,1786,249,1718,4
"","W01000379: Gwersyllt West 1 ",313,340,456,165,316,1630,165,1778,114
"","W01000380: Gwersyllt West 2 ",1275,1475,1221,276,1552,731,1718,1849,1378
"","W01000381: Hermitage 1 ",897,884,708,678,1006,1139,577,1724,499
"","W01000382: Hermitage 2 ",229,329,223,123,353,1127,122,895,240
"","W01000383: Holt 1 ",1353,1568,1560,1180,1510,143,1757,656,1081
"","W01000384: Holt 2 ",1808,1580,1845,1554,1528,902,1641,1651,1124
"","W01000385: Johnstown 1 ",1659,1643,1327,1809,1385,1278,1114,488,916
"","W01000386: Johnstown 2 ",546,517,655,709,440,1281,403,411,213
"","W01000387: Little Acton 1 ",1694,1709,1560,1840,1628,394,1246,1115,1397
"","W01000388: Little Acton 2 ",1531,1369,1221,1203,1645,843,1080,1678,873
"","W01000389: Llangollen Rural ",1305,1335,1447,1265,1224,306,1214,615,977
"","W01000390: Llay 1 ",1278,1477,1560,569,1240,533,1782,344,1117
"","W01000391: Llay 2 ",1341,1445,1327,1232,899,701,1445,439,1011
"","W01000392: Llay 3 ",359,332,655,683,164,994,530,352,38
"","W01000393: Maesydre ",872,999,861,380,1051,1378,311,1656,419
"","W01000394: Marchwiel 1 ",1518,1637,1673,1873,1706,90,1699,992,1236
"","W01000395: Marchwiel 2 ",1309,1403,1327,1126,1174,472,1062,1059,558
"","W01000396: Marford and Hoseley 1 ",1870,1786,1845,1875,1853,496,1572,1857,1880
"","W01000397: Marford and Hoseley 2 ",1872,1895,1873,1879,1885,396,1829,1742,1838
"","W01000398: Minera 1 ",1164,1108,1221,860,1004,454,1468,1041,1060
"","W01000399: Minera 2 ",1680,1605,1560,1629,1681,408,1051,1523,1576
"","W01000400: New Broughton 1 ",1155,1048,1327,1261,705,983,796,1069,297
"","W01000401: New Broughton 2 ",781,596,782,938,589,1390,221,1816,738
"","W01000402: Offa ",1064,1122,1111,1023,1178,1711,111,1616,101
"","W01000403: Overton 1 ",1475,1567,1673,1858,1707,58,1715,1667,955
"","W01000404: Overton 2 ",1551,1419,1673,1702,1651,248,1244,1229,991
"","W01000405: Pant ",397,355,585,302,445,1428,144,911,129
"","W01000406: Penycae ",315,377,585,294,325,647,227,848,36
"","W01000407: Penycae and Ruabon South 1 ",1547,1589,1560,1837,1666,225,1105,673,1521
"","W01000408: Penycae and Ruabon South 2 ",670,723,522,1184,863,265,806,1013,449
"","W01000409: Plas Madoc ",24,29,40,75,53,1392,59,362,7
"","W01000410: Ponciau 1 ",1346,1228,1221,975,1377,1207,669,586,1086
"","W01000411: Ponciau 2 ",483,397,522,613,693,1700,121,1042,76
"","W01000412: Ponciau 3 ",939,1100,861,886,1180,449,601,840,588
"","W01000413: Queensway 1 ",9,2,22,175,26,1311,3,199,56
"","W01000414: Queensway 2 ",88,109,295,77,124,782,35,288,19
"","W01000415: Rhosnesni 1 ",1520,1293,1111,1199,1268,1292,990,1610,1519
"","W01000416: Rhosnesni 2 ",1857,1878,1761,1807,1726,570,1400,1634,1825
"","W01000417: Rossett 1 ",1777,1880,1845,1861,1811,297,1570,960,1594
"","W01000418: Rossett 2 ",1314,1418,1327,1383,1358,246,1381,824,698
"","W01000419: Ruabon 1 ",508,558,782,730,623,264,898,142,212
"","W01000420: Ruabon 2 ",944,1105,861,780,959,1766,244,335,637
"","W01000421: Smithfield ",353,453,456,700,225,1440,84,337,42
"","W01000422: Stansty ",1181,1126,1022,943,1168,795,816,1010,904
"","W01000423: Whitegate 1 ",412,506,782,370,320,567,247,874,40
"","W01000424: Whitegate 2 ",762,965,941,600,564,1047,765,558,128
"","W01000425: Wynnstay ",26,36,49,153,11,1325,14,1274,13
"Powys ","",".",".",".",".",".",".",".",".","."
"Powys ","W01000426: Aber-craf ",808,1005,522,733,925,476,1271,796,1468
"","W01000427: Beguildy ",1088,1146,1560,1627,1034,74,1667,1324,371
"","W01000428: Berriew ",1326,1482,1673,1677,1334,76,1609,1300,598
"","W01000429: Blaen Hafren ",1256,1583,1673,1836,1280,19,1836,1091,915
"","W01000430: Bronllys ",1359,1640,1447,1789,1285,82,1831,1085,1051
"","W01000431: Builth 1 ",1199,953,1022,1281,702,1377,1086,1435,766
"","W01000432: Builth 2 ",1876,1810,1873,1548,1551,1385,1729,804,1695
"","W01000433: Caersws ",1123,1239,1221,1491,1014,147,1455,675,1204
"","W01000434: Churchstoke ",1376,1479,1447,1564,1576,92,1849,1591,972
"","W01000435: Crickhowell 1 ",1837,1684,1560,1738,1751,1142,1307,1184,1399
"","W01000436: Crickhowell 2 ",1414,1386,1447,1696,1440,119,1721,1441,1458
"","W01000437: Cwm-twrch ",668,895,655,434,799,393,1135,275,1296
"","W01000438: Disserth and Trecoed ",730,808,655,970,958,107,1260,1356,1358
"","W01000439: Dolforwyn ",1399,1629,1761,1685,1540,41,1645,868,1655
"","W01000440: Felin-fâch ",1489,1821,1845,1852,1665,25,1835,1383,1242
"","W01000441: Forden ",1605,1723,1761,1847,1630,112,1664,1341,1276
"","W01000442: Glantwymyn ",1151,1461,1447,1680,1163,64,1840,907,330
"","W01000443: Glasbury ",1397,1812,1761,1806,1605,36,1404,807,1062
"","W01000444: Guilsfield ",1519,1557,1673,1727,1581,115,1816,1334,1147
"","W01000445: Gwernyfed ",1296,1437,1560,1499,1271,110,1674,667,1019
"","W01000446: Hay ",1190,971,1111,1181,860,1062,1090,1406,516
"","W01000447: Kerry ",1401,1421,1560,1810,1322,127,1680,1169,937
"","W01000448: Knighton 1 ",1227,1055,1327,1502,674,442,1581,1131,1254
"","W01000449: Knighton 2 ",1267,1315,1447,1433,917,616,1003,355,541
"","W01000450: Llanafanfawr ",1285,1747,1761,1287,1251,38,1852,1060,899
"","W01000451: Llanbadarn Fawr ",1334,1318,1560,1669,1156,171,1737,1256,582
"","W01000452: Llanbrynmair & Banwy ",983,1355,1327,1632,1242,10,1713,730,718
"","W01000453: Llandinam ",1293,1582,1560,1596,1266,51,1731,942,1219
"","W01000454: Llandrindod East/Llandrindod ",567,368,253,946,1027,1778,673,1865,332
"","W01000455: Llandrindod North ",713,507,585,1004,625,845,801,1878,1042
"","W01000456: Llandrindod South ",1065,893,585,1602,992,800,1176,1880,1312
"","W01000457: Llandrinio ",1591,1632,1761,1755,1583,163,1807,1063,999
"","W01000458: Llandysilio ",1494,1472,1447,1743,1465,238,1554,1047,961
"","W01000459: Llanelwedd ",1245,1573,1447,1818,1330,20,1637,1330,1307
"","W01000460: Llanfair Caereinion ",1241,1401,1447,1649,1409,83,1436,646,942
"","W01000461: Llanfyllin ",959,1137,1221,1116,1277,170,1315,551,221
"","W01000462: Llangattock ",1197,1578,1111,885,1638,136,1531,655,1614
"","W01000463: Llangors & Bwlch ",1358,1720,1673,1626,1693,15,1710,1583,1442
"","W01000464: Llangunllo ",1276,1533,1560,1833,1201,31,1753,1097,1439
"","W01000465: Llangynidr ",1679,1782,1761,1508,1801,195,1626,1404,1548
"","W01000466: Llanidloes 1 ",1504,1106,1221,1600,1138,1556,1408,929,800
"","W01000467: Llanidloes 2 ",1521,1506,1327,1219,1160,1531,882,914,553
"","W01000468: Llanrhaeadr-ym-Mochnant ",1244,1541,1761,1796,1442,52,1783,853,207
"","W01000469: Llanrhaeadr-ym-Mochnant/Llans ",1317,1392,1673,1815,1439,62,1871,1167,594
"","W01000470: Llansantffraid ",1382,1378,1673,1428,1499,152,1722,788,965
"","W01000471: Llanwrtyd Wells ",1077,1258,1221,1263,1134,125,1219,1179,679
"","W01000472: Llanyre ",1537,1565,1447,1528,1511,188,1874,1665,1479
"","W01000473: Machynlleth ",938,888,861,980,607,1135,935,894,731
"","W01000474: Maescar/Llywel ",1322,1715,1673,1539,1028,63,1569,1296,1022
"","W01000475: Meifod & Llanfihangel ",1149,1598,1560,1860,1453,22,1866,443,463
"","W01000476: Montgomery ",1532,1444,1560,1583,1620,236,1818,1322,922
"","W01000477: Nantmel ",1150,1400,1560,1831,1083,35,1691,1095,563
"","W01000478: Newtown Central 1 ",599,443,522,1301,661,805,283,481,1132
"","W01000479: Newtown Central 2 ",528,418,782,328,359,1221,266,1108,1459
"","W01000480: Newtown East ",576,570,708,523,681,1510,261,75,692
"","W01000481: Newtown Llanllwchaiarn North ",1412,1441,1560,1672,1536,332,1288,115,1687
"","W01000482: Newtown Llanllwchaiarn West ",1564,1528,1327,1573,1427,661,832,1053,1169
"","W01000483: Newtown South ",456,388,456,447,319,1270,704,475,962
"","W01000484: Old Radnor ",1253,1531,1673,1676,1375,33,1392,1284,682
"","W01000485: Presteigne 1 ",1400,1413,1447,1598,1128,216,1573,1012,1429
"","W01000486: Presteigne 2 ",1367,1061,1221,1673,968,1002,1151,1099,865
"","W01000487: Rhayader ",1005,1071,1111,1047,640,280,1144,1710,1128
"","W01000488: Rhiwcynon ",1094,1570,1560,1670,1357,5,1471,1076,686
"","W01000489: St. David Within ",992,1077,941,833,739,825,1040,834,702
"","W01000490: St. John 1 ",1779,1661,1560,1651,1430,979,1376,1057,1769
"","W01000491: St. John 2 ",388,258,400,1127,313,527,68,1582,1320
"","W01000492: St. Mary 1 ",1365,1241,1221,1330,1515,1642,414,813,283
"","W01000493: St. Mary 2 ",1728,1751,1761,1770,1208,415,1444,1619,1561
"","W01000494: Talgarth ",1139,1428,1327,836,1176,140,1204,1221,1123
"","W01000495: Talybont-on-Usk ",1413,1599,1560,1666,1505,67,1726,1493,1168
"","W01000496: Tawe-Uchaf ",857,1110,782,749,837,182,1206,1309,1411
"","W01000497: Trewern ",1417,1356,1447,1754,1323,162,1673,1611,1028
"","W01000498: Welshpool Castle ",471,401,655,805,482,268,360,702,538
"","W01000499: Welshpool Gungrog 1 ",625,703,708,168,821,1644,1119,287,821
"","W01000500: Welshpool Gungrog 2 ",1226,1145,1327,1341,1003,378,1556,800,749
"","W01000501: Welshpool Llanerchyddol ",1167,978,1111,1289,966,928,793,1092,489
"","W01000502: Ynyscedwyn ",1016,1123,585,957,1227,1211,1354,277,1330
"","W01000503: Yscir ",1440,1824,1761,1766,1619,18,1895,1579,1298
"","W01000504: Ystradgynlais 1 ",117,226,40,44,218,963,350,1815,1465
"","W01000505: Ystradgynlais 2 ",797,816,585,646,1075,901,998,494,1061
"Ceredigion ","",".",".",".",".",".",".",".",".","."
"Ceredigion ","W01000506: Aberaeron ",1446,1115,1022,1734,1320,1683,1298,565,693
"","W01000507: Aberporth 1 ",1511,1371,1560,1691,1245,221,1825,1780,1222
"","W01000508: Aberporth 2 ",874,777,861,1275,847,407,1744,843,356
"","W01000509: Aberteifi/Cardigan - Mwldan ",843,878,861,1200,724,279,912,1325,535
"","W01000510: Aberteifi/Cardigan - Rhyd-y-F ",379,288,183,872,595,1741,480,1242,131
"","W01000511: Aberteifi/Cardigan - Teifi ",250,224,183,729,417,1352,275,703,23
"","W01000512: Aberystwyth Bronglais ",1822,1840,1873,1379,1850,1512,1738,1271,191
"","W01000513: Aberystwyth Canol/Central ",1076,1491,1327,1040,1191,1895,132,719,1
"","W01000514: Aberystwyth Gogledd/North ",1584,1639,1447,1729,1729,1382,1065,1236,26
"","W01000515: Aberystwyth Penparcau 1 ",652,626,655,924,659,1008,562,1869,28
"","W01000516: Aberystwyth Penparcau 2 ",747,606,861,1302,551,774,856,1843,77
"","W01000517: Aberystwyth Rheidol 1 ",1203,1209,1221,1741,1531,1748,251,659,10
"","W01000518: Aberystwyth Rheidol 2 ",1369,1199,1560,1397,1188,1448,1153,542,125
"","W01000519: Beulah ",1051,977,1327,1316,1198,86,1786,1265,986
"","W01000520: Borth 1 ",1450,1628,1447,1857,1617,200,1232,1252,324
"","W01000521: Borth 2 ",905,922,782,1535,1252,444,860,286,432
"","W01000522: Capel Dewi ",907,951,1022,1487,1091,49,1631,1637,763
"","W01000523: Ceulanamaesmawr ",1385,1516,1560,1744,1463,126,1762,1096,518
"","W01000524: Ciliau Aeron ",1174,1331,1327,1486,1024,106,1697,1530,610
"","W01000525: Faenor 1 ",1836,1831,1761,1842,1841,346,1828,1877,1801
"","W01000526: Faenor 2 ",1621,1547,1761,1731,1444,414,1332,1759,387
"","W01000527: Lampeter 1 ",1759,1641,1761,1816,1735,1678,1264,739,166
"","W01000528: Lampeter 2 ",854,742,941,1687,927,320,1352,507,223
"","W01000529: Llanarth ",975,970,1327,1652,823,97,1604,955,603
"","W01000530: Llanbadarn Fawr - Padarn & Ll ",1778,1799,1845,1848,1737,775,1668,631,497
"","W01000531: Llandyfriog ",936,1045,941,1082,995,219,1541,1074,513
"","W01000532: Llandysiliogogo ",1186,1342,1327,1657,1255,66,1606,1754,556
"","W01000533: Llandysul Town ",737,605,782,955,893,530,1165,357,653
"","W01000534: Llanfarian ",1588,1556,1673,1436,1573,223,1824,1311,1271
"","W01000535: Llanfihangel Ystrad ",931,994,1111,1668,1142,43,1815,1222,575
"","W01000536: Llangeitho ",988,1029,1111,1481,1192,59,1723,1662,688
"","W01000537: Llangybi ",912,1116,1111,1695,997,39,1774,1260,380
"","W01000538: Llanrhystyd ",1146,1464,1447,1402,1611,44,1430,811,528
"","W01000539: Llansantffraed 1 ",1033,1284,1560,1575,994,12,1833,1538,708
"","W01000540: Llansantffraed 2 ",1176,1158,1221,1190,1090,330,1804,760,691
"","W01000541: Llanwenog ",954,1346,1327,1310,1173,23,1784,844,483
"","W01000542: Lledrod ",1023,1179,1111,1485,1273,57,1740,1375,621
"","W01000543: Melindwr ",1198,1431,1447,1713,1206,78,1630,1363,308
"","W01000544: New Quay ",1069,939,1111,1197,921,659,879,1812,307
"","W01000545: Penbryn ",1015,1216,1221,1537,1260,30,1826,1182,741
"","W01000546: Pen-parc 1 ",822,958,708,1014,1348,124,1712,1511,375
"","W01000547: Pen-parc 2 ",1154,1197,1221,1594,1493,55,1788,1793,729
"","W01000548: Tirymynach ",1370,1347,1327,1321,1572,205,1629,1570,1015
"","W01000549: Trefeurig ",1559,1826,1673,1742,1582,100,1859,1364,1025
"","W01000550: Tregaron ",838,897,941,1161,1007,169,1195,1178,268
"","W01000551: Troedyraur ",1017,1098,1327,1337,1040,65,1860,1492,612
"","W01000552: Ystwyth ",1387,1634,1673,1701,1590,47,1886,1142,933
"Pembrokeshire ","",".",".",".",".",".",".",".",".","."
"Pembrokeshire ","W01000553: Amroth ",1166,1450,1111,1612,1340,69,1734,1549,601
"","W01000554: Burton ",1405,1513,1327,1311,1579,129,1806,1797,1370
"","W01000555: Camrose 1 ",1377,1576,1447,1690,1509,93,1727,1431,765
"","W01000556: Camrose 2 ",1323,1446,1221,1242,1363,148,1876,1698,1329
"","W01000557: Carew ",1343,1395,1447,1262,1490,150,1694,1481,866
"","W01000558: Cilgerran ",967,1104,1221,825,1329,70,1499,1475,963
"","W01000559: Clydau ",968,1289,1111,1335,1095,37,1661,1519,687
"","W01000560: Crymych 1 ",1212,1224,1560,1646,1411,48,1888,1638,591
"","W01000561: Crymych 2 ",1027,1026,1327,1388,1223,75,1856,1398,465
"","W01000562: Dinas Cross ",1165,1245,1447,1620,1324,53,1457,1779,533
"","W01000563: East Williamston 1 ",1179,1204,1111,1272,1486,164,1580,1788,565
"","W01000564: East Williamston 2 ",1222,1214,1111,848,1261,399,1426,1866,973
"","W01000565: Fishguard North East ",1052,717,941,1189,790,1119,959,1427,1237
"","W01000566: Fishguard North West ",902,840,782,822,610,1577,861,1875,337
"","W01000567: Goodwick ",726,649,708,1000,780,583,1088,1629,159
"","W01000568: Haverfordwest: Castle ",425,489,347,250,950,1707,184,927,86
"","W01000569: Haverfordwest: Garth 1 ",1336,1328,1447,1430,1116,360,1448,1425,368
"","W01000570: Haverfordwest: Garth 2 ",102,66,253,57,258,652,78,1603,195
"","W01000571: Haverfordwest: Portfield ",1007,813,941,880,759,1123,1123,1620,651
"","W01000572: Haverfordwest: Prendergast ",1424,1349,1221,1170,1182,970,1619,912,643
"","W01000573: Haverfordwest: Priory ",1432,1143,1327,1177,1272,1058,1437,872,810
"","W01000574: Hundleton ",1224,1242,1221,1493,1353,116,1611,1499,1058
"","W01000575: Johnston ",756,829,1022,582,606,233,1061,1326,928
"","W01000576: Kilgetty/Begelly ",1018,921,1022,1381,1054,231,1405,1789,537
"","W01000577: Lampeter Velfrey ",1234,1306,1560,1689,1471,46,1837,1478,576
"","W01000578: Lamphey ",1113,1391,1022,1401,1614,80,1490,1301,646
"","W01000579: Letterston ",1130,1171,1221,1447,1267,104,1704,1290,771
"","W01000580: Llangwm ",1415,1434,1327,1300,1313,234,1841,1688,1231
"","W01000581: Llanrhian ",1259,1220,1327,1340,1387,114,1843,1787,1033
"","W01000582: Maenclochog 1 ",865,966,1221,1454,1556,1,1882,1792,362
"","W01000583: Maenclochog 2 ",1337,1089,1327,1808,1420,185,1663,1782,913
"","W01000584: Manorbier ",1216,1147,1221,1497,1336,194,1340,1745,572
"","W01000585: Martletwy ",1109,1422,1673,1228,1527,13,1745,1593,547
"","W01000586: Merlin's Bridge ",778,675,1022,982,455,468,1281,1258,431
"","W01000587: Milford: Central ",741,819,655,850,783,1743,567,97,475
"","W01000588: Milford: East ",495,382,347,1044,560,1173,192,1175,554
"","W01000589: Milford: Hakin 1 ",631,478,708,847,487,1785,557,557,252
"","W01000590: Milford: Hakin 2 ",875,807,782,1096,828,1524,1001,83,855
"","W01000591: Milford: Hubberston 1 ",799,832,1022,728,680,821,511,477,454
"","W01000592: Milford: Hubberston 2 ",213,216,295,525,134,726,559,983,9
"","W01000593: Milford: North ",963,824,861,1130,862,829,1041,1138,505
"","W01000594: Milford: West ",331,253,295,464,358,1479,434,635,285
"","W01000595: Narberth ",1095,770,941,846,1171,1739,1082,1753,406
"","W01000596: Narberth Rural ",1297,1404,1327,954,1307,186,1761,1805,1139
"","W01000597: Newport ",1180,1175,1022,1525,1248,324,1323,1456,384
"","W01000598: Neyland: East ",974,899,861,1182,652,880,928,1344,638
"","W01000599: Neyland: West ",759,883,941,902,669,284,1252,479,382
"","W01000600: Pembroke Dock: Central ",404,426,253,533,499,1816,291,624,219
"","W01000601: Pembroke Dock: Llanion 1 ",52,45,73,140,113,950,120,356,61
"","W01000602: Pembroke Dock: Llanion 2 ",893,861,708,931,840,1009,982,531,898
"","W01000603: Pembroke Dock: Market ",688,634,585,710,758,1018,648,1054,472
"","W01000604: Pembroke Dock: Pennar 1 ",466,400,522,620,343,721,573,1298,302
"","W01000605: Pembroke Dock: Pennar 2 ",721,686,782,504,721,839,786,1359,527
"","W01000606: Pembroke: Monkton ",99,94,120,160,194,1060,274,1354,6
"","W01000607: Pembroke: St. Mary North ",301,335,522,298,223,1040,252,787,87
"","W01000608: Pembroke: St. Mary South ",613,518,655,797,831,1626,134,499,232
"","W01000609: Pembroke: St. Michael ",1425,1263,1022,1534,1316,554,1417,1474,1509
"","W01000610: Penally ",1448,1631,1221,1136,1667,331,1215,1550,845
"","W01000611: Rudbaxton ",1408,1579,1327,1683,1506,144,1834,1294,744
"","W01000612: St. David's ",1037,1128,941,925,1451,384,1366,1367,230
"","W01000613: St. Dogmaels ",860,836,1022,1403,1288,79,1547,946,379
"","W01000614: St. Ishmael's ",880,1226,1327,1372,1127,7,1157,809,754
"","W01000615: Saundersfoot 1 ",1581,1283,1447,1571,1473,540,1560,1799,881
"","W01000616: Saundersfoot 2 ",1383,1185,1327,1253,1443,822,839,1635,373
"","W01000617: Scleddau ",829,1009,1111,723,945,73,1497,1385,828
"","W01000618: Solva ",1128,1027,1327,1515,1275,135,1651,1215,581
"","W01000619: Tenby: North ",1373,992,1221,1201,1514,1242,1335,1376,394
"","W01000620: Tenby: South 1 ",1014,865,861,1010,1567,1797,308,1357,105
"","W01000621: Tenby: South 2 ",820,791,941,717,896,698,1033,890,205
"","W01000622: The Havens ",1217,1559,1447,1171,1391,145,1513,450,619
"","W01000623: Wiston ",1124,1365,1673,1191,1522,17,1805,897,1182
"Carmarthenshire ","",".",".",".",".",".",".",".",".","."
"Carmarthenshire ","W01000624: Abergwili ",1496,1638,1673,1353,1541,132,1735,947,1487
"","W01000625: Ammanford 1 ",373,480,295,177,465,959,847,320,1268
"","W01000626: Ammanford 2 ",684,583,400,663,1120,1833,497,524,1059
"","W01000627: Betws ",692,771,782,513,888,304,1209,473,1138
"","W01000628: Bigyn 1 ",1021,1410,1022,436,1304,565,1588,183,1463
"","W01000629: Bigyn 2 ",739,639,585,705,854,1454,364,593,1392
"","W01000630: Bigyn 3 ",910,974,708,785,907,1151,618,541,1092
"","W01000631: Bigyn 4 ",75,135,59,49,95,836,540,226,1035
"","W01000632: Burry Port 1 ",612,406,347,947,742,1621,997,625,1356
"","W01000633: Burry Port 2 ",394,460,223,802,419,1379,374,200,488
"","W01000634: Burry Port 3 ",1144,1054,861,1043,1235,596,1587,828,1305
"","W01000635: Bynea 1 ",906,1357,1022,732,1084,510,1564,68,354
"","W01000636: Bynea 2 ",473,433,347,489,456,644,1355,1024,1108
"","W01000637: Carmarthen Town North 1 ",685,612,708,779,601,685,851,668,780
"","W01000638: Carmarthen Town North 2 ",342,289,400,553,126,1055,446,1399,520
"","W01000639: Carmarthen Town North 3 ",973,748,941,913,1049,1552,463,700,664
"","W01000640: Carmarthen Town North 4 ",1766,1860,1673,1704,1697,400,1893,970,1622
"","W01000641: Carmarthen Town South 1 ",566,645,347,772,801,1802,213,612,186
"","W01000642: Carmarthen Town South 2 ",1437,1633,1447,971,1685,511,1810,122,1707
"","W01000643: Carmarthen Town West 1 ",727,701,861,757,576,820,921,188,1205
"","W01000644: Carmarthen Town West 2 ",1416,1537,1447,1547,1379,312,1491,310,1211
"","W01000645: Carmarthen Town West 3 ",1105,1041,941,1111,1149,1253,914,300,712
"","W01000646: Cenarth ",683,917,861,835,964,109,1267,274,480
"","W01000647: Cilycwm ",976,1152,1022,1794,1412,29,1890,1154,620
"","W01000648: Cynwyl Elfed 1 ",1039,1380,1447,1380,1281,16,1878,820,829
"","W01000649: Cynwyl Elfed 2 ",1491,1719,1447,1616,1663,103,1791,1122,1374
"","W01000650: Cynwyl Gaeo ",892,1082,1111,1710,1202,3,1869,1412,857
"","W01000651: Dafen 1 ",1191,1208,941,976,1294,995,1258,215,1359
"","W01000652: Dafen 2 ",584,383,400,1230,510,1193,1420,502,826
"","W01000653: Elli 1 ",1024,982,861,397,1345,1636,1229,404,1604
"","W01000654: Elli 2 ",532,691,456,227,955,1773,479,87,1085
"","W01000655: Felinfoel ",419,342,347,394,402,1210,970,434,935
"","W01000656: Garnant ",573,607,456,385,677,546,1046,1014,1551
"","W01000657: Glanamman 1 ",556,678,585,387,462,406,827,1137,1084
"","W01000658: Glanamman 2 ",676,713,400,484,830,1053,1107,909,1485
